QUERY_INFO	0	0	2	3
QUERY_CONTEXT	0	0	0	0	120	0	1
QUERY_CONTEXT	0	1	1	121	70	0	1
QUERY_CONTEXT	0	2	2	192	120	0	0
QUERY_INFO	1	0	2	3
QUERY_CONTEXT	1	0	0	0	120	0	1
QUERY_CONTEXT	1	1	1	121	70	0	1
QUERY_CONTEXT	1	2	2	192	120	0	0
QUERY_INFO	2	0	2	3
QUERY_CONTEXT	2	0	0	0	120	0	1
QUERY_CONTEXT	2	1	1	121	70	0	1
QUERY_CONTEXT	2	2	2	192	120	0	0
QUERY_INFO	3	0	2	3
QUERY_CONTEXT	3	0	0	0	120	0	1
QUERY_CONTEXT	3	1	1	121	70	0	1
QUERY_CONTEXT	3	2	2	192	120	0	0
QUERY_INFO	4	0	2	3
QUERY_CONTEXT	4	0	0	0	120	0	1
QUERY_CONTEXT	4	1	1	121	70	0	1
QUERY_CONTEXT	4	2	2	192	120	0	0
QUERY_INFO	5	0	2	3
QUERY_CONTEXT	5	0	0	0	120	0	1
QUERY_CONTEXT	5	1	1	121	70	0	1
QUERY_CONTEXT	5	2	2	192	120	0	0
